Seeded run: seed=1
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Configuring Protagonist Dispatch Agent...
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen06_dynassign_matrix/vanilla_seed1
Starting SACRED training (mode=vanilla) for 800 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training PROTAGONIST

Ep    1 | Phase: PROTAGO | Ticks: 779 | Protag R: -3137.00 | Antag R: 3138.00 | Delivery:  78.9% | Budget Used:  0.00/4000.0
Ep   25 | Phase: PROTAGO | Ticks: 790 | Protag R: -5329.00 | Antag R: 5330.00 | Delivery:  69.8% | Budget Used:  0.00/4000.0
Ep   26 | Phase: PROTAGO | Ticks: 787 | Protag R: -5618.00 | Antag R: 5619.00 | Delivery:  81.6% | Budget Used:  0.00/4000.0
Ep   27 | Phase: PROTAGO | Ticks: 793 | Protag R: -6634.00 | Antag R: 6635.00 | Delivery:  65.3% | Budget Used:  0.00/4000.0
Ep   28 | Phase: PROTAGO | Ticks: 794 | Protag R: -8887.00 | Antag R: 8888.00 | Delivery:  71.7% | Budget Used:  0.00/4000.0
Ep   29 | Phase: PROTAGO | Ticks: 791 | Protag R: -7383.00 | Antag R: 7384.00 | Delivery:  57.4% | Budget Used:  0.00/4000.0
Ep   30 | Phase: PROTAGO | Ticks: 799 | Protag R: -5230.00 | Antag R: 5231.00 | Delivery:  63.6% | Budget Used:  0.00/4000.0
Ep   31 | Phase: PROTAGO | Ticks: 794 | Protag R: -11541.00 | Antag R: 11542.00 | Delivery:  53.4% | Budget Used:  0.00/4000.0
Ep   32 | Phase: PROTAGO | Ticks: 783 | Protag R: -7444.00 | Antag R: 7445.00 | Delivery:  66.7% | Budget Used:  0.00/4000.0
Ep   33 | Phase: PROTAGO | Ticks: 788 | Protag R: -11308.00 | Antag R: 11310.00 | Delivery:  56.1% | Budget Used:  0.00/4000.0
Ep   34 | Phase: PROTAGO | Ticks: 787 | Protag R: -5460.00 | Antag R: 5461.00 | Delivery:  76.2% | Budget Used:  0.00/4000.0
Ep   35 | Phase: PROTAGO | Ticks: 790 | Protag R: -4489.00 | Antag R: 4489.00 | Delivery:  68.2% | Budget Used:  0.00/4000.0
Ep   36 | Phase: PROTAGO | Ticks: 792 | Protag R: -3692.00 | Antag R: 3693.00 | Delivery:  75.6% | Budget Used:  0.00/4000.0
Ep   37 | Phase: PROTAGO | Ticks: 791 | Protag R: -9363.00 | Antag R: 9364.00 | Delivery:  65.2% | Budget Used:  0.00/4000.0
Ep   38 | Phase: PROTAGO | Ticks: 794 | Protag R: -6249.00 | Antag R: 6250.00 | Delivery:  73.2% | Budget Used:  0.00/4000.0
Ep   39 | Phase: PROTAGO | Ticks: 793 | Protag R: -12081.00 | Antag R: 12082.00 | Delivery:  57.1% | Budget Used:  0.00/4000.0
Ep   40 | Phase: PROTAGO | Ticks: 785 | Protag R: -3429.00 | Antag R: 3430.00 | Delivery:  72.1% | Budget Used:  0.00/4000.0
Ep   41 | Phase: PROTAGO | Ticks: 788 | Protag R: -12480.00 | Antag R: 12481.00 | Delivery:  57.1% | Budget Used:  0.00/4000.0
Ep   42 | Phase: PROTAGO | Ticks: 785 | Protag R: -9651.00 | Antag R: 9652.00 | Delivery:  60.4% | Budget Used:  0.00/4000.0
Ep   43 | Phase: PROTAGO | Ticks: 786 | Protag R: -8566.00 | Antag R: 8567.00 | Delivery:  60.4% | Budget Used:  0.00/4000.0
Ep   44 | Phase: PROTAGO | Ticks: 787 | Protag R: -6433.00 | Antag R: 6434.00 | Delivery:  71.1% | Budget Used:  0.00/4000.0
Ep   45 | Phase: PROTAGO | Ticks: 794 | Protag R: -6929.00 | Antag R: 6930.00 | Delivery:  61.2% | Budget Used:  0.00/4000.0
Ep   46 | Phase: PROTAGO | Ticks: 792 | Protag R: -4065.00 | Antag R: 4066.00 | Delivery:  72.5% | Budget Used:  0.00/4000.0
Ep   47 | Phase: PROTAGO | Ticks: 797 | Protag R: -9012.00 | Antag R: 9012.00 | Delivery:  63.8% | Budget Used:  0.00/4000.0
Ep   48 | Phase: PROTAGO | Ticks: 785 | Protag R: -7355.00 | Antag R: 7356.00 | Delivery:  64.6% | Budget Used:  0.00/4000.0
Ep   49 | Phase: PROTAGO | Ticks: 794 | Protag R: -7410.00 | Antag R: 7411.00 | Delivery:  67.3% | Budget Used:  0.00/4000.0
Ep   50 | Phase: PROTAGO | Ticks: 797 | Protag R: -2953.00 | Antag R: 2953.00 | Delivery:  78.0% | Budget Used:  0.00/4000.0
  [EVAL ep 50] greedy_atk=5366 learned_atk=5840 gap=+475 +/-327 (neg = learned beats greedy under attack)
Saving checkpoints for both agents before phase switch...
Ep   51 | Phase: PROTAGO | Ticks: 796 | Protag R: -5874.00 | Antag R: 5875.00 | Delivery:  63.3% | Budget Used:  0.00/4000.0
Ep   52 | Phase: PROTAGO | Ticks: 779 | Protag R: -5605.00 | Antag R: 5606.00 | Delivery:  71.4% | Budget Used:  0.00/4000.0
Ep   53 | Phase: PROTAGO | Ticks: 791 | Protag R: -7960.00 | Antag R: 7961.00 | Delivery:  66.7% | Budget Used:  0.00/4000.0
Ep   54 | Phase: PROTAGO | Ticks: 799 | Protag R: -4920.00 | Antag R: 4921.00 | Delivery:  64.6% | Budget Used:  0.00/4000.0
Ep   55 | Phase: PROTAGO | Ticks: 788 | Protag R: -2793.00 | Antag R: 2794.00 | Delivery:  81.6% | Budget Used:  0.00/4000.0
Ep   56 | Phase: PROTAGO | Ticks: 793 | Protag R: -5824.00 | Antag R: 5825.00 | Delivery:  64.0% | Budget Used:  0.00/4000.0
Ep   57 | Phase: PROTAGO | Ticks: 777 | Protag R: -7740.00 | Antag R: 7741.00 | Delivery:  71.1% | Budget Used:  0.00/4000.0
Ep   58 | Phase: PROTAGO | Ticks: 794 | Protag R: -5839.00 | Antag R: 5839.00 | Delivery:  68.2% | Budget Used:  0.00/4000.0
Ep   59 | Phase: PROTAGO | Ticks: 793 | Protag R: -5482.00 | Antag R: 5483.00 | Delivery:  73.8% | Budget Used:  0.00/4000.0
Ep   60 | Phase: PROTAGO | Ticks: 799 | Protag R: -3971.00 | Antag R: 3972.00 | Delivery:  76.2% | Budget Used:  0.00/4000.0
Ep   61 | Phase: PROTAGO | Ticks: 791 | Protag R: -13583.00 | Antag R: 13584.00 | Delivery:  50.0% | Budget Used:  0.00/4000.0
Ep   62 | Phase: PROTAGO | Ticks: 791 | Protag R: -4781.00 | Antag R: 4782.00 | Delivery:  71.4% | Budget Used:  0.00/4000.0
Ep   63 | Phase: PROTAGO | Ticks: 790 | Protag R: -12870.00 | Antag R: 12871.00 | Delivery:  56.1% | Budget Used:  0.00/4000.0
Ep   64 | Phase: PROTAGO | Ticks: 776 | Protag R: -5629.00 | Antag R: 5630.00 | Delivery:  69.6% | Budget Used:  0.00/4000.0
Ep   65 | Phase: PROTAGO | Ticks: 785 | Protag R: -7595.00 | Antag R: 7595.00 | Delivery:  60.9% | Budget Used:  0.00/4000.0
Ep   66 | Phase: PROTAGO | Ticks: 785 | Protag R: -7044.00 | Antag R: 7045.00 | Delivery:  58.8% | Budget Used:  0.00/4000.0
Ep   67 | Phase: PROTAGO | Ticks: 777 | Protag R: -5747.00 | Antag R: 5748.00 | Delivery:  73.8% | Budget Used:  0.00/4000.0
Ep   68 | Phase: PROTAGO | Ticks: 788 | Protag R: -11423.00 | Antag R: 11423.00 | Delivery:  50.8% | Budget Used:  0.00/4000.0
Ep   69 | Phase: PROTAGO | Ticks: 796 | Protag R: -9355.00 | Antag R: 9356.00 | Delivery:  59.2% | Budget Used:  0.00/4000.0
Ep   70 | Phase: PROTAGO | Ticks: 791 | Protag R: -3462.00 | Antag R: 3463.00 | Delivery:  82.1% | Budget Used:  0.00/4000.0
Ep   71 | Phase: PROTAGO | Ticks: 793 | Protag R: -1764.00 | Antag R: 1765.00 | Delivery:  87.1% | Budget Used:  0.00/4000.0
Ep   72 | Phase: PROTAGO | Ticks: 795 | Protag R: -5717.00 | Antag R: 5718.00 | Delivery:  63.3% | Budget Used:  0.00/4000.0
Ep   73 | Phase: PROTAGO | Ticks: 790 | Protag R: -3844.00 | Antag R: 3844.00 | Delivery:  72.5% | Budget Used:  0.00/4000.0
Ep   74 | Phase: PROTAGO | Ticks: 787 | Protag R: -3981.00 | Antag R: 3982.00 | Delivery:  72.1% | Budget Used:  0.00/4000.0
Ep   75 | Phase: PROTAGO | Ticks: 796 | Protag R: -7301.00 | Antag R: 7302.00 | Delivery:  76.7% | Budget Used:  0.00/4000.0
Ep   76 | Phase: PROTAGO | Ticks: 797 | Protag R: -5545.00 | Antag R: 5546.00 | Delivery:  70.5% | Budget Used:  0.00/4000.0
Ep   77 | Phase: PROTAGO | Ticks: 785 | Protag R: -6641.00 | Antag R: 6643.00 | Delivery:  63.3% | Budget Used:  0.00/4000.0
Ep   78 | Phase: PROTAGO | Ticks: 793 | Protag R: -8076.00 | Antag R: 8077.00 | Delivery:  61.5% | Budget Used:  0.00/4000.0
Ep   79 | Phase: PROTAGO | Ticks: 799 | Protag R: -2282.00 | Antag R: 2283.00 | Delivery:  86.5% | Budget Used:  0.00/4000.0
Ep   80 | Phase: PROTAGO | Ticks: 798 | Protag R: -8828.00 | Antag R: 8829.00 | Delivery:  66.0% | Budget Used:  0.00/4000.0
Ep   81 | Phase: PROTAGO | Ticks: 797 | Protag R: -7168.00 | Antag R: 7169.00 | Delivery:  64.0% | Budget Used:  0.00/4000.0
Ep   82 | Phase: PROTAGO | Ticks: 792 | Protag R: -10415.00 | Antag R: 10416.00 | Delivery:  50.8% | Budget Used:  0.00/4000.0
Ep   83 | Phase: PROTAGO | Ticks: 786 | Protag R: -8096.00 | Antag R: 8097.00 | Delivery:  63.8% | Budget Used:  0.00/4000.0
Ep   84 | Phase: PROTAGO | Ticks: 787 | Protag R: -10317.00 | Antag R: 10318.00 | Delivery:  60.4% | Budget Used:  0.00/4000.0
Ep   85 | Phase: PROTAGO | Ticks: 798 | Protag R: -8567.00 | Antag R: 8568.00 | Delivery:  55.6% | Budget Used:  0.00/4000.0
Ep   86 | Phase: PROTAGO | Ticks: 793 | Protag R: -10898.00 | Antag R: 10899.00 | Delivery:  58.2% | Budget Used:  0.00/4000.0
Ep   87 | Phase: PROTAGO | Ticks: 779 | Protag R: -6992.00 | Antag R: 6993.00 | Delivery:  60.8% | Budget Used:  0.00/4000.0
Ep   88 | Phase: PROTAGO | Ticks: 797 | Protag R: -8711.00 | Antag R: 8712.00 | Delivery:  59.6% | Budget Used:  0.00/4000.0
Ep   89 | Phase: PROTAGO | Ticks: 789 | Protag R: -9357.00 | Antag R: 9358.00 | Delivery:  57.4% | Budget Used:  0.00/4000.0
Ep   90 | Phase: PROTAGO | Ticks: 794 | Protag R: -8586.00 | Antag R: 8587.00 | Delivery:  64.7% | Budget Used:  0.00/4000.0
Ep   91 | Phase: PROTAGO | Ticks: 792 | Protag R: -7775.00 | Antag R: 7776.00 | Delivery:  60.8% | Budget Used:  0.00/4000.0
Ep   92 | Phase: PROTAGO | Ticks: 796 | Protag R: -5384.00 | Antag R: 5385.00 | Delivery:  80.5% | Budget Used:  0.00/4000.0
Ep   93 | Phase: PROTAGO | Ticks: 795 | Protag R: -6834.00 | Antag R: 6835.00 | Delivery:  66.0% | Budget Used:  0.00/4000.0
Ep   94 | Phase: PROTAGO | Ticks: 788 | Protag R: -8568.00 | Antag R: 8569.00 | Delivery:  61.5% | Budget Used:  0.00/4000.0
Ep   95 | Phase: PROTAGO | Ticks: 791 | Protag R: -6057.00 | Antag R: 6058.00 | Delivery:  69.6% | Budget Used:  0.00/4000.0
Ep   96 | Phase: PROTAGO | Ticks: 790 | Protag R: -5718.00 | Antag R: 5719.00 | Delivery:  70.5% | Budget Used:  0.00/4000.0
Ep   97 | Phase: PROTAGO | Ticks: 793 | Protag R: -8437.00 | Antag R: 8438.00 | Delivery:  65.3% | Budget Used:  0.00/4000.0
Ep   98 | Phase: PROTAGO | Ticks: 795 | Protag R: -9294.00 | Antag R: 9295.00 | Delivery:  68.8% | Budget Used:  0.00/4000.0
Ep   99 | Phase: PROTAGO | Ticks: 795 | Protag R: -11157.00 | Antag R: 11158.00 | Delivery:  57.1% | Budget Used:  0.00/4000.0
Ep  100 | Phase: PROTAGO | Ticks: 791 | Protag R: -11796.00 | Antag R: 11797.00 | Delivery:  57.1% | Budget Used:  0.00/4000.0
  [EVAL ep 100] greedy_atk=5366 learned_atk=5731 gap=+365 +/-249 (neg = learned beats greedy under attack)
Saving checkpoints for both agents before phase switch...
Ep  101 | Phase: PROTAGO | Ticks: 793 | Protag R: -6723.00 | Antag R: 6724.00 | Delivery:  68.9% | Budget Used:  0.00/4000.0
Ep  102 | Phase: PROTAGO | Ticks: 787 | Protag R: -7803.00 | Antag R: 7803.00 | Delivery:  61.2% | Budget Used:  0.00/4000.0
Ep  103 | Phase: PROTAGO | Ticks: 783 | Protag R: -4065.00 | Antag R: 4066.00 | Delivery:  80.0% | Budget Used:  0.00/4000.0
Ep  104 | Phase: PROTAGO | Ticks: 783 | Protag R: -5725.00 | Antag R: 5726.00 | Delivery:  66.0% | Budget Used:  0.00/4000.0
Ep  105 | Phase: PROTAGO | Ticks: 794 | Protag R: -11296.00 | Antag R: 11297.00 | Delivery:  53.6% | Budget Used:  0.00/4000.0
Ep  106 | Phase: PROTAGO | Ticks: 797 | Protag R: -16973.00 | Antag R: 16975.00 | Delivery:  47.0% | Budget Used:  0.00/4000.0
Ep  107 | Phase: PROTAGO | Ticks: 797 | Protag R: -8592.00 | Antag R: 8593.00 | Delivery:  51.7% | Budget Used:  0.00/4000.0
Ep  108 | Phase: PROTAGO | Ticks: 799 | Protag R: -2414.00 | Antag R: 2416.00 | Delivery:  89.2% | Budget Used:  0.00/4000.0
Ep  109 | Phase: PROTAGO | Ticks: 791 | Protag R: -8461.00 | Antag R: 8462.00 | Delivery:  58.8% | Budget Used:  0.00/4000.0
Ep  110 | Phase: PROTAGO | Ticks: 798 | Protag R: -2647.00 | Antag R: 2648.00 | Delivery:  81.2% | Budget Used:  0.00/4000.0
Ep  111 | Phase: PROTAGO | Ticks: 796 | Protag R: -7215.00 | Antag R: 7216.00 | Delivery:  68.1% | Budget Used:  0.00/4000.0
Ep  112 | Phase: PROTAGO | Ticks: 780 | Protag R: -6864.00 | Antag R: 6865.00 | Delivery:  64.0% | Budget Used:  0.00/4000.0
Ep  113 | Phase: PROTAGO | Ticks: 798 | Protag R: -5771.00 | Antag R: 5771.00 | Delivery:  66.0% | Budget Used:  0.00/4000.0
Ep  114 | Phase: PROTAGO | Ticks: 794 | Protag R: -10815.00 | Antag R: 10816.00 | Delivery:  59.6% | Budget Used:  0.00/4000.0
Ep  115 | Phase: PROTAGO | Ticks: 787 | Protag R: -6295.00 | Antag R: 6296.00 | Delivery:  64.6% | Budget Used:  0.00/4000.0
Ep  116 | Phase: PROTAGO | Ticks: 792 | Protag R: -7832.00 | Antag R: 7833.00 | Delivery:  56.9% | Budget Used:  0.00/4000.0
Ep  117 | Phase: PROTAGO | Ticks: 797 | Protag R: -9218.00 | Antag R: 9218.00 | Delivery:  62.0% | Budget Used:  0.00/4000.0
Ep  118 | Phase: PROTAGO | Ticks: 791 | Protag R: -3614.00 | Antag R: 3615.00 | Delivery:  76.2% | Budget Used:  0.00/4000.0
Ep  119 | Phase: PROTAGO | Ticks: 781 | Protag R: -8594.00 | Antag R: 8595.00 | Delivery:  58.5% | Budget Used:  0.00/4000.0
Ep  120 | Phase: PROTAGO | Ticks: 797 | Protag R: -7547.00 | Antag R: 7548.00 | Delivery:  72.7% | Budget Used:  0.00/4000.0
Ep  121 | Phase: PROTAGO | Ticks: 778 | Protag R: -8709.00 | Antag R: 8710.00 | Delivery:  57.7% | Budget Used:  0.00/4000.0
Ep  122 | Phase: PROTAGO | Ticks: 795 | Protag R: -9127.00 | Antag R: 9128.00 | Delivery:  59.3% | Budget Used:  0.00/4000.0
Ep  123 | Phase: PROTAGO | Ticks: 797 | Protag R: -7351.00 | Antag R: 7352.00 | Delivery:  60.0% | Budget Used:  0.00/4000.0
Ep  124 | Phase: PROTAGO | Ticks: 795 | Protag R: -4704.00 | Antag R: 4704.00 | Delivery:  75.0% | Budget Used:  0.00/4000.0
Ep  125 | Phase: PROTAGO | Ticks: 786 | Protag R: -4155.00 | Antag R: 4155.00 | Delivery:  71.4% | Budget Used:  0.00/4000.0
Ep  126 | Phase: PROTAGO | Ticks: 798 | Protag R: -8502.00 | Antag R: 8503.00 | Delivery:  60.4% | Budget Used:  0.00/4000.0
Ep  127 | Phase: PROTAGO | Ticks: 792 | Protag R: -7128.00 | Antag R: 7129.00 | Delivery:  68.9% | Budget Used:  0.00/4000.0
Ep  128 | Phase: PROTAGO | Ticks: 796 | Protag R: -9104.00 | Antag R: 9105.00 | Delivery:  60.4% | Budget Used:  0.00/4000.0
Ep  129 | Phase: PROTAGO | Ticks: 779 | Protag R: -4175.00 | Antag R: 4176.00 | Delivery:  80.0% | Budget Used:  0.00/4000.0
Ep  130 | Phase: PROTAGO | Ticks: 789 | Protag R: -12275.00 | Antag R: 12276.00 | Delivery:  50.0% | Budget Used:  0.00/4000.0
Ep  131 | Phase: PROTAGO | Ticks: 787 | Protag R: -12745.00 | Antag R: 12746.00 | Delivery:  53.3% | Budget Used:  0.00/4000.0
Ep  132 | Phase: PROTAGO | Ticks: 788 | Protag R: -3665.00 | Antag R: 3665.00 | Delivery:  73.2% | Budget Used:  0.00/4000.0
Ep  133 | Phase: PROTAGO | Ticks: 777 | Protag R: -11129.00 | Antag R: 11130.00 | Delivery:  50.0% | Budget Used:  0.00/4000.0
Ep  134 | Phase: PROTAGO | Ticks: 798 | Protag R: -3984.00 | Antag R: 3985.00 | Delivery:  69.6% | Budget Used:  0.00/4000.0
Ep  135 | Phase: PROTAGO | Ticks: 789 | Protag R: -5997.00 | Antag R: 5997.00 | Delivery:  63.3% | Budget Used:  0.00/4000.0
Ep  136 | Phase: PROTAGO | Ticks: 797 | Protag R: -7593.00 | Antag R: 7594.00 | Delivery:  57.1% | Budget Used:  0.00/4000.0
Ep  137 | Phase: PROTAGO | Ticks: 796 | Protag R: -10693.00 | Antag R: 10693.00 | Delivery:  59.3% | Budget Used:  0.00/4000.0
Ep  138 | Phase: PROTAGO | Ticks: 783 | Protag R: -7891.00 | Antag R: 7892.00 | Delivery:  58.8% | Budget Used:  0.00/4000.0
Ep  139 | Phase: PROTAGO | Ticks: 798 | Protag R: -14081.00 | Antag R: 14082.00 | Delivery:  55.2% | Budget Used:  0.00/4000.0
Ep  140 | Phase: PROTAGO | Ticks: 793 | Protag R: -5783.00 | Antag R: 5783.00 | Delivery:  61.2% | Budget Used:  0.00/4000.0
Ep  141 | Phase: PROTAGO | Ticks: 799 | Protag R: -7896.00 | Antag R: 7898.00 | Delivery:  68.8% | Budget Used:  0.00/4000.0
Ep  142 | Phase: PROTAGO | Ticks: 791 | Protag R: -8734.00 | Antag R: 8735.00 | Delivery:  60.8% | Budget Used:  0.00/4000.0
Ep  143 | Phase: PROTAGO | Ticks: 780 | Protag R: -6975.00 | Antag R: 6976.00 | Delivery:  65.3% | Budget Used:  0.00/4000.0
Ep  144 | Phase: PROTAGO | Ticks: 793 | Protag R: -3204.00 | Antag R: 3205.00 | Delivery:  75.6% | Budget Used:  0.00/4000.0
Ep  145 | Phase: PROTAGO | Ticks: 780 | Protag R: -3341.00 | Antag R: 3342.00 | Delivery:  82.1% | Budget Used:  0.00/4000.0
Ep  146 | Phase: PROTAGO | Ticks: 798 | Protag R: -5224.00 | Antag R: 5225.00 | Delivery:  71.1% | Budget Used:  0.00/4000.0
Ep  147 | Phase: PROTAGO | Ticks: 792 | Protag R: -3811.00 | Antag R: 3812.00 | Delivery:  80.6% | Budget Used:  0.00/4000.0
Ep  148 | Phase: PROTAGO | Ticks: 793 | Protag R: -8777.00 | Antag R: 8778.00 | Delivery:  58.5% | Budget Used:  0.00/4000.0
Ep  149 | Phase: PROTAGO | Ticks: 794 | Protag R: -6984.00 | Antag R: 6985.00 | Delivery:  68.1% | Budget Used:  0.00/4000.0
Ep  150 | Phase: PROTAGO | Ticks: 789 | Protag R: -3540.00 | Antag R: 3540.00 | Delivery:  70.7% | Budget Used:  0.00/4000.0
  [EVAL ep 150] greedy_atk=5366 learned_atk=5828 gap=+462 +/-299 (neg = learned beats greedy under attack)
Saving checkpoints for both agents before phase switch...
Ep  151 | Phase: PROTAGO | Ticks: 780 | Protag R: -7351.00 | Antag R: 7352.00 | Delivery:  64.0% | Budget Used:  0.00/4000.0
Ep  152 | Phase: PROTAGO | Ticks: 799 | Protag R: -3347.00 | Antag R: 3347.00 | Delivery:  80.0% | Budget Used:  0.00/4000.0
Ep  153 | Phase: PROTAGO | Ticks: 799 | Protag R: -2994.00 | Antag R: 2994.00 | Delivery:  80.6% | Budget Used:  0.00/4000.0
Ep  154 | Phase: PROTAGO | Ticks: 797 | Protag R: -5788.00 | Antag R: 5789.00 | Delivery:  62.7% | Budget Used:  0.00/4000.0
Ep  155 | Phase: PROTAGO | Ticks: 791 | Protag R: -2226.00 | Antag R: 2227.00 | Delivery:  76.3% | Budget Used:  0.00/4000.0
Ep  156 | Phase: PROTAGO | Ticks: 797 | Protag R: -6807.00 | Antag R: 6808.00 | Delivery:  63.5% | Budget Used:  0.00/4000.0
Ep  157 | Phase: PROTAGO | Ticks: 795 | Protag R: -3236.00 | Antag R: 3236.00 | Delivery:  75.0% | Budget Used:  0.00/4000.0
Ep  158 | Phase: PROTAGO | Ticks: 799 | Protag R: -10666.00 | Antag R: 10667.00 | Delivery:  52.6% | Budget Used:  0.00/4000.0
Ep  159 | Phase: PROTAGO | Ticks: 799 | Protag R: -11640.00 | Antag R: 11641.00 | Delivery:  58.2% | Budget Used:  0.00/4000.0
Ep  160 | Phase: PROTAGO | Ticks: 797 | Protag R: -11372.00 | Antag R: 11372.00 | Delivery:  58.8% | Budget Used:  0.00/4000.0
Ep  161 | Phase: PROTAGO | Ticks: 795 | Protag R: -4917.00 | Antag R: 4918.00 | Delivery:  66.7% | Budget Used:  0.00/4000.0
Ep  162 | Phase: PROTAGO | Ticks: 796 | Protag R: -6618.00 | Antag R: 6619.00 | Delivery:  64.0% | Budget Used:  0.00/4000.0
Ep  163 | Phase: PROTAGO | Ticks: 787 | Protag R: -11207.00 | Antag R: 11208.00 | Delivery:  50.8% | Budget Used:  0.00/4000.0
Ep  164 | Phase: PROTAGO | Ticks: 783 | Protag R: -4067.00 | Antag R: 4068.00 | Delivery:  71.4% | Budget Used:  0.00/4000.0
Ep  165 | Phase: PROTAGO | Ticks: 786 | Protag R: -9329.00 | Antag R: 9330.00 | Delivery:  51.7% | Budget Used:  0.00/4000.0
Ep  166 | Phase: PROTAGO | Ticks: 798 | Protag R: -4581.00 | Antag R: 4582.00 | Delivery:  65.1% | Budget Used:  0.00/4000.0
Ep  167 | Phase: PROTAGO | Ticks: 799 | Protag R: -6232.00 | Antag R: 6233.00 | Delivery:  77.5% | Budget Used:  0.00/4000.0
Ep  168 | Phase: PROTAGO | Ticks: 789 | Protag R: -6567.00 | Antag R: 6568.00 | Delivery:  58.0% | Budget Used:  0.00/4000.0
Ep  169 | Phase: PROTAGO | Ticks: 795 | Protag R: -4057.00 | Antag R: 4058.00 | Delivery:  85.3% | Budget Used:  0.00/4000.0
Ep  170 | Phase: PROTAGO | Ticks: 794 | Protag R: -5231.00 | Antag R: 5231.00 | Delivery:  66.7% | Budget Used:  0.00/4000.0
